ref_key,title,abstract_text,source,word_count,extraction_date
REF_010,Crafting normative messages to protect the environment,"It is widely recognized that communications that activate social norms can be effective in producing societally beneficial conduct. Not so well recognized are the circumstances under which normative information can backfire to produce the opposite of what a communicator intends. There is an understandable, but misguided, tendency to try to mobilize action against a problem by depicting it as regrettably frequent. Information campaigns emphasize that alcohol and drug use is intolerably high, that adolescent suicide rates are alarming, and—most relevant to this article—that rampant polluters are spoiling the environment. Although these claims may be both true and well intentioned, the campaigns' creators have missed something critically important: Within the statement “Many people are doing this undesirable thing” lurks the powerful and undercutting normative message “Many people are doing this.” Only by aligning descriptive norms (what people typically do) with injunctive norms (what people typically approve or disapprove) can one optimize the power of normative appeals. Communicators who fail to recognize the distinction between these two types of norms imperil their persuasive efforts.",openalex_search,172,2026-02-01 11:04:59
REF_011,Using narratives and storytelling to communicate science with nonexpert audiences,"Ammonia-oxidizing archaea are ubiquitous in marine and terrestrial environments and now thought to be significant contributors to carbon and nitrogen cycling. The isolation of Candidatus “Nitrosopumilus maritimus” strain SCM1 provided the opportunity for linking its chemolithotrophic physiology with a genomic inventory of the globally distributed archaea. Here we report the 1,645,259-bp closed genome of strain SCM1, revealing highly copper-dependent systems for ammonia oxidation and electron transport that are distinctly different from known ammonia-oxidizing bacteria. Consistent with in situ isotopic studies of marine archaea, the genome sequence indicates N. maritimus grows autotrophically using a variant of the 3-hydroxypropionate/4-hydroxybutryrate pathway for carbon assimilation, while maintaining limited capacity for assimilation of organic carbon. This unique instance of archaeal biosynthesis of the osmoprotectant ectoine and an unprecedented enrichment of multicopper oxidases, thioredoxin-like proteins, and transcriptional regulators points to an organism responsive to environmental cues and adapted to handling reactive copper and nitrogen species that likely derive from its distinctive biochemistry. The conservation of N. maritimus gene content and organization within marine metagenomes indicates that the unique physiology of these specialized oligophiles may play a significant role in the biogeochemical cycles of carbon and nitrogen.",openalex_doi,190,2026-02-01 11:05:01
REF_012,The psychology of attitudes,,book_no_abstract,0,2026-02-01 11:05:01
REF_013,"To prosper, organizational psychology should… overcome methodological barriers to progress","Abstract Progress in organizational psychology (OP) research depends on the rigor and quality of the methods we use. This paper identifies ten methodological barriers to progress and offers suggestions for overcoming the barriers, in part or whole. The barriers address how we derive hypotheses from theories, the nature and scope of the questions we pursue in our studies, the ways we address causality, the manner in which we draw samples and measure constructs, and how we conduct statistical tests and draw inferences from our research. The paper concludes with recommendations for integrating research methods into our ongoing development goals as scholars and framing methods as tools that help us achieve shared objectives in our field. Copyright © 2008 John Wiley &amp; Sons, Ltd.",openalex_search,123,2026-02-01 11:05:04
REF_014,Making social science matter: Why social inquiry fails and how it can succeed again,,book_no_abstract,0,2026-02-01 11:05:04
REF_015,Evaluation of smoking prevention television messages based on the elaboration likelihood model,"Progress in reducing youth smoking may depend on developing improved methods to communicate with higher risk youth. This study explored the potential of smoking prevention messages based on the Elaboration Likelihood Model (ELM) to address these needs. Structured evaluations of 12 smoking prevention messages based on three strategies derived from the ELM were conducted in classroom settings among a diverse sample of non-smoking middle school students in three states (n = 1771). Students categorized as likely to have higher involvement in a decision to initiate cigarette smoking reported relatively high ratings on a cognitive processing indicator for messages focused on factual arguments about negative consequences of smoking than for messages with fewer or no direct arguments. Message appeal ratings did not show greater preference for this message type among higher involved versus lower involved students. Ratings from students reporting lower academic achievement suggested difficulty processing factual information presented in these messages. The ELM may provide a useful strategy for reaching adolescents at risk for smoking initiation, but particular attention should be focused on lower academic achievers to ensure that messages are appropriate for them. This approach should be explored further before similar strategies could be recommended for large-scale implementation.",openalex_doi,199,2026-02-01 11:05:07
REF_016,Visual strategies: A practical guide to graphics for scientists & engineers,,book_no_abstract,0,2026-02-01 11:05:07
REF_017,We found only one-third of published psychology research is reliable – now what? The Conversation,"I apologize, but I must begin making my case for subjective measurement by recounting to you my own experiences with it over the past few years.Almost a decade ago, when the field of applied behavior analysis was beginning to expand so rapidly, we were faced with the task of putting together the Journal of Applied Be- havior Analysis.For a period of several months Garth Hopkins, who was our managing editor, presented us with a series of unexpected deci- sions to make; like: What color should the paper be?And did we need a paper that would hold together for two thousand years or were we willing to live with a shelf-life of only a thousand years?And so on.Just a couple of days before we were sched- uled to go to press with our very first issue, Garth called with one more question.""What is the purpose of the Journal of Applied Behavior Analysis?"", he asked.He said we needed to put a description of the purpose on the inside front cover, as one finds in other journals.He needed an answer almost immediately.",openalex_search,179,2026-02-01 11:05:09
REF_018,Effects of inquiry-based learning on students’ science literacy skills and confidence,"Calls for reform in university education have prompted a movement from teacher- to student-centered course design, and included developments such as peer-teaching, problem and inquiry-based learning. In the sciences, inquiry-based learning has been widely promoted to increase literacy and skill development, but there has been little comparison to more traditional curricula. In this study, we demonstrated greater improvements in students’ science literacy and research skills using inquiry lab instruction. We also found that inquiry students gained self-confidence in scientific abilities, but traditional students’ gain was greater –likely indicating that the traditional curriculum promoted over-confidence. Inquiry lab students valued more authentic science exposure but acknowledged that experiencing the complexity and frustrations faced by practicing scientists was challenging, and may explain the widespread reported student resistance to inquiry curricula.",openalex_search,127,2026-02-01 11:05:12
REF_019,Scientese and ambiguous citations in the selling of unproven medical treatments,"Unproven medical treatments are widely marketed, and are especially accessible via the Internet. Little is known about factors that may increase the persuasiveness of information used to promote such unproven treatments. This article examines the effect of scientese (use of scientific jargon) and attributed versus unattributed citations on message persuasiveness on science and nonscience majors. Scientese, as expected, increased message persuasiveness. Contrary to expectations, this effect was not moderated by science versus nonscience major, graduate versus undergraduate status, or potential involvement with the message topic. In addition, no effect was found for attributed versus unattributed citations either as a main effect or in interaction with science major, graduate or undergraduate status, or for an indicator of involvement with the health topic. These findings are consistent with Food and Drug Administration concerns about the ability of the public to critically discern the quality of evidence supporting use of unproven remedies and dietary supplements. Similarly, they raise questions about the judicial reasoning that presumes consumers can make such judgments, though replication with clinical populations would be desirable to strengthen policy-relevant inferences.",openalex_doi,179,2026-02-01 11:05:15
REF_020,The Oxford Companion to the History of Modern Science,,book_no_abstract,0,2026-02-01 11:05:15
REF_021,"The dominant view of popularization: Conceptual problems, political uses","The culturally-dominant view of the popularization of science rests on a two-stage model: first, scientists develop genuine knowledge; second, popularizers spread streamlined versions to the public. At best, popularization is seen as a low-status educational task of `appropriate simplification'. At worst, it is `pollution' — the distortion of science by outsiders. This paper shows that the dominant view suffers from conceptual problems, and greatly oversimplifies the process. But, despite these weaknesses, the dominant view serves scientists (and others who derive their authority from technical expertise) as a resource in public discourse, providing a repertoire of rhetorical devices for interpreting science for outsiders, and a powerful tool for sustaining the social hierarchy of expertise.",crossref_api,113,2026-02-01 11:05:16
REF_022,Value-expressive versus utilitarian advertising appeals: When and why to use which appeal,"Abstract Value-expressive advertising appeals are effective when the product is value-expressive, while utilitarian appeals are effective when the product is utilitarian. When the product is value-expressive, audience persuasion is influenced through self-congruity. Conversely, when the product is utilitarian, audience persuasion is influenced through functional congruity. The effectiveness of the value-expressive as opposed to utilitarian appeals is argued also to be a function of such product-related factors as differentiation, life cycle, scarcity, and conspicuousness, and consumer-related factors such as involvement, prior knowledge, and self-monitoring. Future research and managerial implications are discussed.",openalex_search,90,2026-02-01 11:05:19
REF_023,Physical attractiveness of the celebrity endorser: A social adaptation perspective,"Three factors were manipulated in an advertisement for disposable razors: celebrity-source physical attractiveness, celebrity-source likability, and participant product involvement. Attitudes and purchase intentions changed due to celebrity-source attractiveness, and the results were interpreted as supporting social adaptation theory.",openalex_doi,38,2026-02-01 11:05:21
REF_024,The persuasive effect of graphics in computer-mediated communication,,not_found,0,2026-02-01 11:05:23
